Date,Hour,U Ph,V Ph,i/ir,I/Ir,i/ip,I/Ip,olr,OlR,poerr,PoErr,dtq,DTq,dtqr,DTqR,enct,EncT,ASp,ReLf(E),ReLf,ret,ret(E),ReT,ReT(E)  ,U Ph,V Ph,i/ir,I/Ir,i/ip,I/Ip,olr,OlR,poerr,PoErr,dtq,DTq,dtqr,DTqR,enct,EncT,ASp,ReLf(E),ReLf,ret,ret(E),ReT,ReT(E)  ,U Ph,V Ph,i/ir,I/Ir,i/ip,I/Ip,olr,OlR,poerr,PoErr,dtq,DTq,dtqr,DTqR,enct,EncT,ASp,ReLf(E),ReLf,ret,ret(E),ReT,ReT(E)  ,U Ph,V Ph,i/ir,I/Ir,i/ip,I/Ip,olr,OlR,poerr,PoErr,dtq,DTq,dtqr,DTqR,enct,EncT,ASp,ReLf(E),ReLf,ret,ret(E),ReT,ReT(E)  ,U Ph,V Ph,i/ir,I/Ir,i/ip,I/Ip,olr,OlR,poerr,PoErr,dtq,DTq,dtqr,DTqR,enct,EncT,ASp,ReLf(E),ReLf,ret,ret(E),ReT,ReT(E)  ,U Ph,V Ph,i/ir,I/Ir,i/ip,I/Ip,olr,OlR,poerr,PoErr,dtq,DTq,dtqr,DTqR,enct,EncT,ASp,ReLf(E),ReLf,ret,ret(E),ReT,ReT(E)  
05/13,16,0.04,0.02,0.0,15.6,0.0,4.6,0.0,66.5,0,49,0.0,0.3,0.0,0.0,35,35,0,10y0d,99,0,0,11,2  ,0.11,0.17,0.0,52.2,0.0,14.5,0.0,66.5,0,56,0.0,0.7,0.0,0.0,35,35,0,10y0d,99,0,21,24,28  ,0.18,0.09,0.0,62.5,0.0,16.9,0.0,66.5,0,64,0.0,0.7,0.0,0.0,37,37,0,10y0d,99,0,33,33,35  ,0.01,0.01,0.0,19.0,0.0,4.9,0.0,66.5,0,31,0.0,0.1,0.0,0.0,36,36,0,10y0d,99,0,0,6,9  ,0.01,0.01,0.0,31.5,0.0,8.9,0.0,66.5,0,60,0.0,0.1,0.0,0.0,38,38,0,10y0d,99,0,14,14,15  ,0.00,-0.04,0.0,17.3,0.0,4.9,0.0,66.5,0,39,0.0,0.1,0.0,0.0,38,38,0,10y0d,99,0,0,11,2  
05/14,16,0.02,-0.02,0.0,0.0,0.0,0.0,64.3,66.5,0,0,0.0,0.0,0.0,0.0,21,21,0,10y0d,99,0,0,0,0  ,0.09,0.11,0.0,0.0,0.0,0.0,64.3,66.5,0,0,0.0,0.0,0.0,0.0,21,21,0,10y0d,99,0,10,0,10  ,0.13,0.04,0.0,0.0,0.0,0.0,64.3,66.5,0,0,0.0,0.0,0.0,0.0,21,21,0,10y0d,99,0,33,0,33  ,-0.01,0.01,0.0,0.0,0.0,0.0,64.3,66.5,0,0,0.0,0.0,0.0,0.0,21,21,0,10y0d,99,0,0,0,0  ,0.00,0.00,0.0,0.0,0.0,0.0,64.3,66.5,0,0,0.0,0.0,0.0,0.0,21,21,0,10y0d,99,0,14,0,14  ,-0.02,-0.05,0.0,0.0,0.0,0.0,64.3,66.5,0,0,0.0,0.0,0.0,0.0,22,22,0,10y0d,99,0,0,0,0  
06/04,11,-0.02,-0.06,0.0,16.3,0.0,4.8,30.5,66.5,0,28,0.0,0.5,0.0,0.0,27,27,0,10y0d,99,0,0,12,0  ,0.09,0.15,0.0,51.8,0.0,14.3,31.7,66.5,0,47,0.0,0.7,0.0,0.0,27,27,0,10y0d,99,0,21,25,26  ,0.15,0.06,0.0,63.7,0.0,17.2,30.9,66.5,0,73,0.0,0.6,0.0,0.0,27,27,0,10y0d,99,0,33,34,35  ,-0.01,0.01,0.0,42.5,0.0,11.0,31.3,66.5,0,37,0.0,0.1,0.0,0.0,27,27,0,10y0d,99,0,0,16,17  ,0.01,0.00,0.0,17.3,0.0,4.9,30.5,66.5,0,18,0.0,0.1,0.0,0.0,27,27,0,10y0d,99,0,14,9,15  ,-0.02,-0.06,0.0,48.8,0.0,13.7,30.5,66.5,0,158,0.0,0.2,0.0,0.0,28,28,0,10y0d,99,0,0,26,28  
06/05,11,0.02,0.00,0.0,5.3,0.0,1.5,0.0,66.5,0,5,0.0,0.1,0.0,0.0,35,35,0,10y0d,99,0,0,2,0  ,0.11,0.20,0.0,49.9,0.0,13.8,0.6,66.5,0,55,0.0,0.6,0.0,0.0,35,35,0,10y0d,99,0,21,24,26  ,0.18,0.09,0.0,62.2,0.0,16.8,0.5,66.5,0,69,0.0,0.6,0.0,0.0,35,35,0,10y0d,99,0,33,33,35  ,0.01,0.02,0.0,14.6,0.0,3.8,0.0,66.5,0,4,0.0,0.0,0.0,0.0,35,35,0,10y0d,99,0,0,5,0  ,0.01,0.01,0.0,30.3,0.0,8.5,0.0,66.5,0,58,0.0,0.1,0.0,0.0,36,36,0,10y0d,99,0,14,14,16  ,0.00,-0.05,0.0,10.3,0.0,2.9,0.0,66.5,0,19,0.0,0.0,0.0,0.0,36,36,0,10y0d,99,0,0,8,0  
06/12,11,0.04,0.02,0.0,18.8,0.0,5.5,0.0,66.5,0,49,0.0,0.5,0.0,0.0,35,35,0,10y0d,99,0,0,14,1  ,0.15,0.18,0.0,55.2,0.0,15.3,0.0,66.5,0,46,0.0,0.8,0.0,0.0,35,35,0,10y0d,99,0,27,27,28  ,0.20,0.09,0.0,52.2,0.0,14.1,0.0,66.5,0,55,0.0,0.6,0.0,0.0,35,35,0,10y0d,99,0,27,27,29  ,0.01,0.02,0.0,64.0,0.0,16.5,0.0,66.5,0,32,0.0,0.1,0.0,0.0,35,35,0,10y0d,99,0,0,9,2  ,0.01,0.01,0.0,50.3,0.0,14.2,0.0,66.5,0,101,0.0,0.2,0.0,0.0,36,36,0,10y0d,99,0,22,23,24  ,0.01,-0.04,0.0,22.5,0.0,6.3,0.0,66.5,0,30,0.0,0.1,0.0,0.0,36,36,0,10y0d,99,0,0,7,3  
06/25,11,0.02,0.00,0.0,0.0,0.0,0.0,0.0,66.5,0,0,0.0,0.0,0.0,0.0,35,35,0,10y0d,99,0,0,0,0  ,0.11,0.17,0.0,0.0,0.0,0.0,0.0,66.5,0,0,0.0,0.0,0.0,0.0,34,34,0,10y0d,99,0,27,0,27  ,0.17,0.07,0.0,0.0,0.0,0.0,0.0,66.5,0,0,0.0,0.0,0.0,0.0,34,34,0,10y0d,99,0,27,0,27  ,0.00,0.02,0.0,0.0,0.0,0.0,0.0,66.5,0,0,0.0,0.0,0.0,0.0,34,34,0,10y0d,99,0,0,0,0  ,0.01,0.01,0.0,0.0,0.0,0.0,0.0,66.5,0,0,0.0,0.0,0.0,0.0,35,35,0,10y0d,99,0,23,0,23  ,0.00,-0.06,0.0,0.0,0.0,0.0,0.0,66.5,0,0,0.0,0.0,0.0,0.0,35,35,0,10y0d,99,0,0,0,0  
06/25,11,0.00,-0.02,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,0,0,0  ,0.09,0.15,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,27,0,27  ,0.15,0.07,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,24,24,0,10y0d,99,0,27,0,27  ,-0.01,0.01,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,0,0,0  ,0.00,0.00,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,23,0,23  ,0.00,-0.06,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,0,0,0  
06/25,16,0.04,0.02,0.0,42.1,0.0,12.3,0.0,64.3,0,116,0.0,0.5,0.0,0.0,37,37,0,10y0d,99,0,0,19,4  ,0.13,0.22,0.0,74.0,0.0,20.5,2.1,64.3,0,119,0.0,0.8,0.0,0.0,37,37,0,10y0d,99,0,26,31,33  ,0.22,0.15,0.0,52.2,0.0,14.1,0.3,64.3,0,77,0.0,0.6,0.0,0.0,37,37,0,10y0d,99,0,27,27,30  ,0.01,0.03,0.0,160.4,0.0,41.4,0.1,64.3,0,319,0.0,0.2,0.0,0.0,37,38,0,10y0d,99,0,5,29,18  ,0.01,0.02,0.0,89.3,0.0,25.1,0.0,64.3,0,247,0.0,0.3,0.0,0.0,38,39,0,10y0d,99,0,19,28,25  ,0.02,-0.04,0.0,86.5,0.0,24.4,0.0,64.3,0,316,0.0,0.2,0.0,0.0,38,39,0,10y0d,99,0,7,20,26  
06/27,11,0.04,0.04,0.0,13.9,0.0,4.1,0.0,66.5,0,55,0.0,0.4,0.0,0.0,36,36,0,10y0d,99,0,0,12,1  ,0.17,0.18,0.0,65.1,0.0,18.0,0.2,66.5,0,43,0.0,0.8,0.0,0.0,36,36,0,10y0d,99,0,27,27,38  ,0.22,0.11,0.0,51.3,0.0,13.9,0.0,66.5,0,51,0.0,0.6,0.0,0.0,36,37,0,10y0d,99,0,27,27,35  ,0.01,0.03,0.0,52.7,0.0,13.6,0.0,66.5,0,65,0.0,0.1,0.0,0.0,36,37,0,10y0d,99,0,0,9,5  ,0.00,0.02,0.0,43.8,0.0,12.3,0.0,66.5,0,85,0.0,0.2,0.0,0.0,37,37,0,10y0d,99,0,23,20,25  ,0.02,-0.05,0.0,30.3,0.0,8.5,0.0,66.5,0,57,0.0,0.1,0.0,0.0,37,37,0,10y0d,99,0,0,8,6  
06/28,11,0.00,-0.04,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,0,0,0  ,0.11,0.15,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,25,0,25  ,0.15,0.04,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,24,24,0,10y0d,99,0,33,0,33  ,0.00,0.01,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,24,24,0,10y0d,99,0,4,0,4  ,-0.01,-0.01,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,9,0,9  ,0.01,-0.06,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,26,0,26  
