Date,Hour,U Ph,V Ph,i/ir,I/Ir,i/ip,I/Ip,olr,OlR,poerr,PoErr,dtq,DTq,dtqr,DTqR,enct,EncT,ASp,ReLf(E),ReLf,ret,ret(E),ReT,ReT(E)  ,U Ph,V Ph,i/ir,I/Ir,i/ip,I/Ip,olr,OlR,poerr,PoErr,dtq,DTq,dtqr,DTqR,enct,EncT,ASp,ReLf(E),ReLf,ret,ret(E),ReT,ReT(E)  ,U Ph,V Ph,i/ir,I/Ir,i/ip,I/Ip,olr,OlR,poerr,PoErr,dtq,DTq,dtqr,DTqR,enct,EncT,ASp,ReLf(E),ReLf,ret,ret(E),ReT,ReT(E)  ,U Ph,V Ph,i/ir,I/Ir,i/ip,I/Ip,olr,OlR,poerr,PoErr,dtq,DTq,dtqr,DTqR,enct,EncT,ASp,ReLf(E),ReLf,ret,ret(E),ReT,ReT(E)  ,U Ph,V Ph,i/ir,I/Ir,i/ip,I/Ip,olr,OlR,poerr,PoErr,dtq,DTq,dtqr,DTqR,enct,EncT,ASp,ReLf(E),ReLf,ret,ret(E),ReT,ReT(E)  ,U Ph,V Ph,i/ir,I/Ir,i/ip,I/Ip,olr,OlR,poerr,PoErr,dtq,DTq,dtqr,DTqR,enct,EncT,ASp,ReLf(E),ReLf,ret,ret(E),ReT,ReT(E)  
06/28,16,0.02,0.02,0.0,10.8,0.0,3.1,0.0,66.5,0,3,0.0,0.2,0.0,0.0,37,37,0,10y0d,99,0,0,6,0  ,0.15,0.22,0.0,50.9,0.0,14.1,0.0,66.5,0,56,0.0,0.5,0.0,0.0,37,37,0,10y0d,99,0,25,25,27  ,0.18,0.13,0.0,62.2,0.0,16.8,0.0,66.5,0,70,0.0,0.5,0.0,0.0,37,37,0,10y0d,99,0,33,33,35  ,0.01,0.03,0.0,11.3,0.0,2.9,0.0,66.5,0,3,0.0,0.0,0.0,0.0,37,37,0,10y0d,99,0,4,4,4  ,-0.01,0.01,0.0,21.8,0.0,6.1,0.0,66.5,0,28,0.0,0.1,0.0,0.0,38,38,0,10y0d,99,0,9,9,10  ,0.03,-0.04,0.0,47.5,0.0,13.4,0.0,66.5,0,155,0.0,0.1,0.0,0.0,38,38,0,10y0d,99,0,26,26,27  
07/01,11,0.02,0.00,0.0,18.4,0.0,5.4,0.0,66.5,0,26,0.0,0.4,0.0,0.0,37,37,0,10y0d,99,0,0,13,2  ,0.13,0.20,0.0,60.2,0.0,16.7,0.0,66.5,0,61,0.0,0.6,0.0,0.0,37,37,0,10y0d,99,0,27,29,31  ,0.18,0.09,0.0,55.7,0.0,15.1,0.0,66.5,0,60,0.0,0.5,0.0,0.0,37,37,0,10y0d,99,0,27,29,31  ,0.01,0.02,0.0,30.0,0.0,7.7,0.0,66.5,0,16,0.0,0.1,0.0,0.0,37,37,0,10y0d,99,0,0,8,2  ,0.00,0.01,0.0,49.8,0.0,14.0,0.0,66.5,0,98,0.0,0.1,0.0,0.0,38,38,0,10y0d,99,0,23,23,24  ,0.02,-0.05,0.0,16.5,0.0,4.6,0.0,66.5,0,24,0.0,0.0,0.0,0.0,38,38,0,10y0d,99,0,0,12,2  
07/02,11,0.02,0.02,0.0,7.8,0.0,2.3,0.0,66.5,0,3,0.0,0.1,0.0,0.0,36,36,0,10y0d,99,0,0,4,0  ,0.13,0.18,0.0,53.5,0.0,14.8,0.0,66.5,0,49,0.0,0.5,0.0,0.0,36,36,0,10y0d,99,0,27,26,29  ,0.20,0.11,0.0,56.0,0.0,15.1,0.0,66.5,0,61,0.0,0.5,0.0,0.0,36,36,0,10y0d,99,0,27,30,31  ,0.01,0.03,0.0,16.2,0.0,4.2,0.0,66.5,0,13,0.0,0.1,0.0,0.0,36,36,0,10y0d,99,0,0,6,0  ,-0.01,0.01,0.0,50.8,0.0,14.3,0.0,66.5,0,102,0.0,0.2,0.0,0.0,37,37,0,10y0d,99,0,23,23,25  ,0.02,-0.06,0.0,4.0,0.0,1.1,0.0,66.5,0,13,0.0,0.0,0.0,0.0,37,37,0,10y0d,99,0,0,7,0  
07/03,11,0.02,0.02,0.0,11.0,0.0,3.2,0.0,66.5,0,20,0.0,0.3,0.0,0.0,36,36,0,10y0d,99,0,0,11,1  ,0.13,0.18,0.0,58.5,0.0,16.2,0.0,66.5,0,45,0.0,0.7,0.0,0.0,35,35,0,10y0d,99,0,27,29,29  ,0.20,0.09,0.0,46.9,0.0,12.7,0.0,66.5,0,41,0.0,0.5,0.0,0.0,35,35,0,10y0d,99,0,27,24,29  ,0.01,0.03,0.0,39.7,0.0,10.2,0.0,66.5,0,47,0.0,0.1,0.0,0.0,35,35,0,10y0d,99,0,0,13,14  ,-0.01,0.01,0.0,34.3,0.0,9.6,0.0,66.5,0,60,0.0,0.2,0.0,0.0,36,36,0,10y0d,99,0,23,15,24  ,0.02,-0.05,0.0,17.8,0.0,5.0,0.0,66.5,0,13,0.0,0.0,0.0,0.0,36,36,0,10y0d,99,0,0,6,2  
07/23,11,0.00,0.00,0.0,19.9,0.0,5.8,0.0,66.5,0,51,0.0,0.5,0.0,0.0,37,37,0,10y0d,99,0,0,15,2  ,0.15,0.24,0.0,51.4,0.0,14.2,0.0,66.5,0,77,0.0,0.7,0.0,0.0,37,37,0,10y0d,99,0,31,27,32  ,0.24,0.13,0.0,48.3,0.0,13.1,0.0,66.5,0,58,0.0,0.6,0.0,0.0,38,38,0,10y0d,99,0,27,28,34  ,0.01,0.02,0.0,59.1,0.0,15.3,0.0,66.5,0,66,0.0,0.2,0.0,0.0,38,38,0,10y0d,99,0,13,10,13  ,-0.01,0.02,0.0,35.0,0.0,9.9,0.0,66.5,0,56,0.0,0.2,0.0,0.0,39,39,0,10y0d,99,0,15,14,25  ,0.02,-0.06,0.0,28.5,0.0,8.0,0.0,66.5,0,67,0.0,0.1,0.0,0.0,39,39,0,10y0d,99,0,0,11,13  
07/23,16,0.02,0.02,0.0,19.7,0.0,5.7,0.0,66.5,0,61,0.0,0.5,0.0,0.0,38,38,0,10y0d,99,0,0,14,2  ,0.17,0.22,0.0,71.0,0.0,19.7,0.4,66.5,0,64,0.0,0.8,0.0,0.0,38,38,0,10y0d,99,0,38,31,41  ,0.22,0.17,0.0,50.4,0.0,13.6,0.3,66.5,0,54,0.0,0.6,0.0,0.0,39,39,0,10y0d,99,0,27,27,32  ,0.02,0.03,0.0,60.4,0.0,15.6,0.0,66.5,0,77,0.0,0.2,0.0,0.0,38,39,0,10y0d,99,0,2,13,16  ,-0.01,0.02,0.0,33.5,0.0,9.4,0.0,66.5,0,64,0.0,0.2,0.0,0.0,40,40,0,10y0d,99,0,16,15,22  ,0.03,-0.05,0.0,23.3,0.0,6.5,0.0,66.5,0,75,0.0,0.1,0.0,0.0,40,40,0,10y0d,99,0,1,13,4  
07/23,16,0.04,0.02,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,37,37,0,10y0d,99,0,0,0,0  ,0.18,0.24,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,38,38,0,10y0d,99,0,40,0,40  ,0.22,0.15,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,39,39,0,10y0d,99,0,32,0,32  ,0.02,0.03,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,38,38,0,10y0d,99,0,5,0,5  ,-0.01,0.02,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,40,40,0,10y0d,99,0,7,0,7  ,0.03,-0.04,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,40,40,0,10y0d,99,0,1,0,1  
07/26,11,0.02,0.02,0.0,16.7,0.0,4.9,0.0,66.5,0,43,0.0,0.4,0.0,0.0,37,37,0,10y0d,99,0,0,12,1  ,0.15,0.22,0.0,73.8,0.0,20.4,0.0,66.5,0,55,0.0,0.7,0.0,0.0,36,36,0,10y0d,99,0,29,23,34  ,0.20,0.15,0.0,52.5,0.0,14.2,0.0,66.5,0,49,0.0,0.5,0.0,0.0,36,37,0,10y0d,99,0,29,28,32  ,0.01,0.02,0.0,28.0,0.0,7.2,0.0,66.5,0,49,0.0,0.2,0.0,0.0,37,37,0,10y0d,99,0,11,10,12  ,-0.02,0.02,0.0,19.3,0.0,5.4,0.0,66.5,0,48,0.0,0.1,0.0,0.0,37,37,0,10y0d,99,0,6,12,11  ,0.02,-0.06,0.0,16.3,0.0,4.6,0.0,66.5,0,83,0.0,0.1,0.0,0.0,37,38,0,10y0d,99,0,1,9,6  
07/30,11,0.02,0.00,0.0,13.5,0.0,4.0,0.0,66.5,0,39,0.0,0.4,0.0,0.0,36,36,0,10y0d,99,0,0,12,1  ,0.15,0.26,0.0,38.9,0.0,10.8,0.0,66.5,0,41,0.0,0.5,0.0,0.0,36,36,0,10y0d,99,0,17,20,19  ,0.24,0.15,0.0,41.0,0.0,11.1,0.0,66.5,0,32,0.0,0.4,0.0,0.0,37,37,0,10y0d,99,0,28,25,28  ,0.01,0.02,0.0,47.8,0.0,12.3,0.0,66.5,0,32,0.0,0.1,0.0,0.0,37,37,0,10y0d,99,0,10,8,11  ,-0.02,0.02,0.0,49.0,0.0,13.8,0.0,66.5,0,104,0.0,0.2,0.0,0.0,37,38,0,10y0d,99,0,8,22,25  ,0.02,-0.06,0.0,21.3,0.0,6.0,0.0,66.5,0,38,0.0,0.1,0.0,0.0,38,38,0,10y0d,99,0,1,7,3  
07/31,11,-0.02,-0.02,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,0,0,0  ,0.11,0.18,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,17,0,17  ,0.17,0.09,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,15,0,15  ,-0.01,0.02,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,1,0,1  ,-0.04,0.00,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,22,0,22  ,0.02,-0.07,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,0,0,0  
07/31,16,0.06,0.04,2.1,24.9,0.6,7.3,0.0,66.5,0,92,-0.0,0.5,0.0,0.0,38,38,0,10y0d,99,1,0,22,5  ,0.17,0.26,23.2,82.8,6.4,22.9,1.0,66.5,0,106,-0.2,0.8,0.0,0.0,37,38,0,10y0d,99,11,17,36,43  ,0.24,0.17,4.1,47.8,1.1,12.9,0.0,66.5,0,70,-0.3,0.6,0.0,0.0,38,39,0,10y0d,99,2,15,26,33  ,0.02,0.04,4.1,55.9,1.0,14.4,0.0,66.5,0,81,0.0,0.1,0.0,0.0,38,39,0,10y0d,99,1,1,10,9  ,-0.03,0.03,1.8,49.3,0.5,13.9,0.0,66.5,0,102,0.1,0.2,0.0,0.0,39,40,0,10y0d,99,0,22,22,26  ,0.04,-0.05,0.5,21.0,0.1,5.9,0.0,66.5,0,92,0.0,0.1,0.0,0.0,39,40,0,10y0d,99,0,0,12,20  
08/02,11,0.00,0.02,0.0,23.5,0.0,6.9,0.0,66.5,0,63,0.0,0.4,0.0,0.0,38,38,0,10y0d,99,0,0,14,4  ,0.17,0.26,0.0,60.4,0.0,16.7,0.0,66.5,0,91,0.0,0.6,0.0,0.0,38,38,0,10y0d,99,0,32,26,33  ,0.24,0.15,0.0,40.1,0.0,10.8,0.0,66.5,0,62,0.0,0.6,0.0,0.0,39,40,0,10y0d,99,0,22,22,31  ,0.02,0.04,0.0,34.4,0.0,8.9,0.0,66.5,0,69,0.0,0.1,0.0,0.0,39,40,0,10y0d,99,0,3,10,5  ,-0.04,0.02,0.0,49.5,0.0,13.9,0.0,66.5,0,107,0.0,0.2,0.0,0.0,40,41,0,10y0d,99,0,22,22,26  ,0.04,-0.06,0.0,17.0,0.0,4.8,0.0,66.5,0,63,0.0,0.1,0.0,0.0,40,41,0,10y0d,99,0,0,10,2  
08/05,11,-0.04,-0.06,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,0,0,0  ,0.11,0.17,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,26,0,26  ,0.15,0.07,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,27,0,27  ,-0.01,0.02,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,9,0,9  ,-0.06,0.00,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,22,0,22  ,0.02,-0.07,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,15,0,15  
08/05,16,0.02,0.04,0.0,18.8,0.0,5.5,0.0,64.4,0,51,0.0,0.5,0.0,0.0,38,38,0,10y0d,99,0,0,16,3  ,0.18,0.26,0.0,70.2,0.0,19.4,0.0,64.4,0,55,0.0,0.8,0.0,0.0,38,38,0,10y0d,99,0,30,29,40  ,0.24,0.15,0.0,52.2,0.0,14.1,0.0,64.4,0,51,0.0,0.7,0.0,0.0,38,39,0,10y0d,99,0,25,27,33  ,0.02,0.04,0.0,46.6,0.0,12.0,0.0,64.4,0,83,0.0,0.2,0.0,0.0,39,39,0,10y0d,99,0,7,10,12  ,-0.04,0.02,0.0,49.0,0.0,13.8,0.0,64.4,0,98,0.0,0.2,0.0,0.0,39,40,0,10y0d,99,0,0,22,27  ,0.06,-0.06,0.0,28.5,0.0,8.0,0.0,64.4,0,88,0.0,0.2,0.0,0.0,39,40,0,10y0d,99,0,2,15,27  
08/06,16,0.00,-0.02,0.0,0.0,0.0,0.0,64.5,66.5,0,0,0.0,0.0,0.0,0.0,26,26,0,10y0d,99,0,0,0,0  ,0.13,0.18,0.0,0.0,0.0,0.0,64.5,66.5,0,0,0.0,0.0,0.0,0.0,26,26,0,10y0d,99,0,31,0,31  ,0.18,0.11,0.0,0.0,0.0,0.0,64.5,66.5,0,0,0.0,0.0,0.0,0.0,26,26,0,10y0d,99,0,25,0,25  ,0.01,0.03,0.0,0.0,0.0,0.0,64.5,66.5,0,0,0.0,0.0,0.0,0.0,26,26,0,10y0d,99,0,4,0,4  ,-0.05,0.01,0.0,0.0,0.0,0.0,64.5,66.5,0,0,0.0,0.0,0.0,0.0,26,26,0,10y0d,99,0,4,0,4  ,0.03,-0.07,0.0,0.0,0.0,0.0,64.5,66.5,0,0,0.0,0.0,0.0,0.0,26,26,0,10y0d,99,0,2,0,2  
08/08,11,0.00,0.02,0.0,20.7,0.0,6.0,0.0,66.5,0,35,0.0,0.5,0.0,0.0,36,36,0,10y0d,99,0,0,15,1  ,0.17,0.22,0.0,38.0,0.0,10.5,0.0,66.5,0,45,0.0,0.6,0.0,0.0,36,36,0,10y0d,99,0,17,21,19  ,0.24,0.13,0.0,32.7,0.0,8.8,0.0,66.5,0,55,0.0,0.5,0.0,0.0,36,37,0,10y0d,99,0,16,17,18  ,0.01,0.04,0.0,55.1,0.0,14.2,0.0,66.5,0,36,0.0,0.1,0.0,0.0,37,37,0,10y0d,99,0,0,8,2  ,-0.04,0.02,0.0,50.3,0.0,14.2,0.0,66.5,0,105,0.0,0.2,0.0,0.0,38,38,0,10y0d,99,0,23,23,24  ,0.05,-0.07,0.0,48.5,0.0,13.7,0.0,66.5,0,157,0.0,0.1,0.0,0.0,38,38,0,10y0d,99,0,17,26,28  
08/09,11,-0.02,-0.04,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,0,0,0  ,0.13,0.17,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,19,0,19  ,0.17,0.07,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,14,0,14  ,0.00,0.03,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,2,0,2  ,-0.05,0.00,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,26,0,26  ,0.04,-0.07,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,1,0,1  
08/12,16,-0.06,-0.04,0.0,0.0,0.0,0.0,64.5,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,0,0,0  ,0.13,0.15,0.0,0.0,0.0,0.0,64.5,66.5,0,0,0.0,0.0,0.0,0.0,24,24,0,10y0d,99,0,21,0,21  ,0.15,0.07,0.0,0.0,0.0,0.0,64.5,66.5,0,0,0.0,0.0,0.0,0.0,24,24,0,10y0d,99,0,18,0,18  ,-0.01,0.02,0.0,0.0,0.0,0.0,64.5,66.5,0,0,0.0,0.0,0.0,0.0,24,24,0,10y0d,99,0,6,0,6  ,-0.06,0.00,0.0,0.0,0.0,0.0,64.5,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,16,0,16  ,0.02,-0.07,0.0,0.0,0.0,0.0,64.5,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,13,0,13  
08/20,11,-0.04,-0.04,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,0,0,0  ,0.13,0.15,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,22,0,22  ,0.15,0.07,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,24,24,0,10y0d,99,0,19,0,19  ,0.00,0.01,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,24,24,0,10y0d,99,0,1,0,1  ,-0.06,0.00,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,23,0,23  ,0.02,-0.08,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,0,0,0  
08/29,11,0.00,0.00,0.0,14.4,0.0,4.2,0.0,66.5,0,36,0.0,0.2,0.0,0.0,36,36,0,10y0d,99,0,0,12,1  ,0.17,0.20,0.0,46.7,0.0,12.9,0.0,66.5,0,35,0.0,0.3,0.0,0.0,36,36,0,10y0d,99,0,22,23,23  ,0.22,0.15,0.0,38.9,0.0,10.5,0.0,66.5,0,40,0.0,0.3,0.0,0.0,36,36,0,10y0d,99,0,19,20,21  ,0.01,0.03,0.0,23.1,0.0,6.0,0.0,66.5,0,17,0.0,0.1,0.0,0.0,36,36,0,10y0d,99,0,1,8,2  ,-0.04,0.02,0.0,50.8,0.0,14.3,0.0,66.5,0,97,0.0,0.2,0.0,0.0,37,37,0,10y0d,99,0,23,23,24  ,0.03,-0.07,0.0,48.3,0.0,13.6,0.0,66.5,0,159,0.0,0.1,0.0,0.0,37,37,0,10y0d,99,0,0,26,28  
08/30,11,-0.02,-0.04,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,26,26,0,10y0d,99,0,0,0,0  ,0.13,0.18,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,26,26,0,10y0d,99,0,17,0,17  ,0.17,0.09,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,15,0,15  ,0.00,0.02,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,25,25,0,10y0d,99,0,1,0,1  ,-0.06,0.01,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,26,26,0,10y0d,99,0,22,0,22  ,0.02,-0.07,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,26,26,0,10y0d,99,0,0,0,0  
09/04,16,-0.04,-0.02,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,32,32,0,10y0d,99,0,0,0,0  ,0.13,0.20,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,32,32,0,10y0d,99,0,12,0,12  ,0.18,0.11,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,33,33,0,10y0d,99,0,25,0,25  ,0.00,0.02,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,33,33,0,10y0d,99,0,0,0,0  ,-0.06,0.01,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,32,32,0,10y0d,99,0,20,0,20  ,0.02,-0.07,0.0,0.0,0.0,0.0,64.1,66.5,0,0,0.0,0.0,0.0,0.0,32,32,0,10y0d,99,0,1,0,1  
09/05,11,0.02,0.07,7.4,61.3,2.2,17.9,0.2,66.5,0,63,0.1,1.2,0.0,0.0,38,38,0,10y0d,99,4,0,34,5  ,0.20,0.26,2.5,69.5,0.7,19.3,0.3,66.5,0,111,0.9,1.7,0.0,0.0,38,38,0,10y0d,99,1,22,27,32  ,0.28,0.22,16.2,46.6,4.4,12.6,0.7,66.5,0,71,0.0,0.5,0.0,0.0,41,41,0,10y0d,99,8,8,25,14  ,0.02,0.06,3.2,51.9,0.8,13.4,0.1,66.5,0,49,-0.0,0.1,0.0,0.0,41,41,0,10y0d,99,1,0,11,0  ,-0.05,0.04,5.5,34.3,1.5,9.6,0.0,66.5,0,50,-0.0,0.1,0.0,0.0,44,44,0,10y0d,99,2,0,14,15  ,0.06,-0.06,0.0,32.0,0.0,9.0,0.0,66.5,0,55,0.0,0.1,0.0,0.0,44,44,0,10y0d,99,0,0,13,0  
09/05,11,0.02,0.04,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,37,37,0,10y0d,99,0,0,0,0  ,0.20,0.26,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,37,37,0,10y0d,99,0,30,0,30  ,0.24,0.20,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,41,41,0,10y0d,99,0,27,0,27  ,0.02,0.06,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,41,41,0,10y0d,99,0,10,0,10  ,-0.06,0.02,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,43,43,0,10y0d,99,0,9,0,9  ,0.06,-0.06,0.0,0.0,0.0,0.0,64.4,66.5,0,0,0.0,0.0,0.0,0.0,43,43,0,10y0d,99,0,12,0,12  
09/10,11,0.00,0.00,0.0,0.0,0.0,0.0,0.0,66.5,0,0,0.0,0.0,0.0,0.0,36,36,0,10y0d,99,0,0,0,0  ,0.18,0.22,0.0,0.0,0.0,0.0,0.0,66.5,0,0,0.0,0.0,0.0,0.0,36,36,0,10y0d,99,0,31,0,31  ,0.24,0.17,0.0,0.0,0.0,0.0,0.0,66.5,0,0,0.0,0.0,0.0,0.0,36,36,0,10y0d,99,0,22,0,22  ,0.01,0.04,0.0,0.0,0.0,0.0,0.0,66.5,0,0,0.0,0.0,0.0,0.0,36,36,0,10y0d,99,0,2,0,2  ,-0.07,0.02,0.0,0.0,0.0,0.0,0.0,66.5,0,0,0.0,0.0,0.0,0.0,37,37,0,10y0d,99,0,23,0,23  ,0.05,-0.07,0.0,0.0,0.0,0.0,0.0,66.5,0,0,0.0,0.0,0.0,0.0,37,37,0,10y0d,99,0,0,0,0  
10/02,11,-0.04,-0.06,0.0,0.0,0.0,0.0,64.3,66.5,0,0,0.0,0.0,0.0,0.0,22,22,0,10y0d,99,0,0,0,0  ,0.13,0.18,0.0,0.0,0.0,0.0,64.3,66.5,0,0,0.0,0.0,0.0,0.0,22,22,0,10y0d,99,0,31,0,31  ,0.20,0.11,0.0,0.0,0.0,0.0,64.3,66.5,0,0,0.0,0.0,0.0,0.0,22,22,0,10y0d,99,0,22,0,22  ,-0.01,0.02,0.0,0.0,0.0,0.0,64.3,66.5,0,0,0.0,0.0,0.0,0.0,22,22,0,10y0d,99,0,2,0,2  ,-0.06,0.01,0.0,0.0,0.0,0.0,64.3,66.5,0,0,0.0,0.0,0.0,0.0,22,22,0,10y0d,99,0,23,0,23  ,0.01,-0.09,0.0,0.0,0.0,0.0,64.3,66.5,0,0,0.0,0.0,0.0,0.0,22,22,0,10y0d,99,0,0,0,0  
10/02,16,-0.02,-0.02,0.0,30.6,0.0,8.9,0.0,66.5,0,63,0.0,0.4,0.0,0.0,34,34,0,10y0d,99,0,0,18,5  ,0.17,0.26,0.0,67.4,0.0,18.7,0.0,66.5,0,65,0.0,0.8,0.0,0.0,34,34,0,10y0d,99,0,27,31,35  ,0.26,0.17,0.0,43.6,0.0,11.8,0.0,66.5,0,47,0.0,0.5,0.0,0.0,35,35,0,10y0d,99,0,17,22,27  ,0.01,0.04,0.0,37.7,0.0,9.7,0.0,66.5,0,36,0.0,0.1,0.0,0.0,34,34,0,10y0d,99,0,0,9,4  ,-0.06,0.02,0.0,51.5,0.0,14.5,0.0,66.5,0,109,0.0,0.2,0.0,0.0,36,36,0,10y0d,99,0,24,23,28  ,0.03,-0.06,0.0,28.0,0.0,7.9,0.0,66.5,0,65,0.0,0.1,0.0,0.0,36,36,0,10y0d,99,0,0,10,19  
10/03,11,-0.04,-0.02,0.0,0.0,0.0,0.0,64.5,66.5,0,0,0.0,0.0,0.0,0.0,22,22,0,10y0d,99,0,0,0,0  ,0.13,0.18,0.0,0.0,0.0,0.0,64.5,66.5,0,0,0.0,0.0,0.0,0.0,22,22,0,10y0d,99,0,27,0,27  ,0.20,0.13,0.0,0.0,0.0,0.0,64.5,66.5,0,0,0.0,0.0,0.0,0.0,22,22,0,10y0d,99,0,17,0,17  ,-0.01,0.03,0.0,0.0,0.0,0.0,64.5,66.5,0,0,0.0,0.0,0.0,0.0,22,22,0,10y0d,99,0,0,0,0  ,-0.06,0.01,0.0,0.0,0.0,0.0,64.5,66.5,0,0,0.0,0.0,0.0,0.0,22,22,0,10y0d,99,0,24,0,24  ,0.01,-0.07,0.0,0.0,0.0,0.0,64.5,66.5,0,0,0.0,0.0,0.0,0.0,22,22,0,10y0d,99,0,0,0,0  
10/03,16,0.02,0.04,0.0,16.3,0.0,4.8,0.0,66.5,0,50,0.0,0.5,0.0,0.0,34,34,0,10y0d,99,0,0,14,2  ,0.17,0.28,0.0,64.9,0.0,18.0,0.0,66.5,0,60,0.0,0.8,0.0,0.0,34,34,0,10y0d,99,0,30,32,33  ,0.28,0.18,0.0,53.7,0.0,14.5,0.0,66.5,0,66,0.0,0.7,0.0,0.0,34,34,0,10y0d,99,0,29,28,33  ,0.01,0.04,0.0,39.7,0.0,10.2,0.0,66.5,0,35,0.0,0.1,0.0,0.0,35,35,0,10y0d,99,0,2,9,6  ,-0.06,0.02,0.0,48.0,0.0,13.5,0.0,66.5,0,99,0.0,0.2,0.0,0.0,35,36,0,10y0d,99,0,23,22,25  ,0.04,-0.07,0.0,19.3,0.0,5.4,0.0,66.5,0,25,0.0,0.1,0.0,0.0,36,36,0,10y0d,99,0,0,11,1  
